band,lat_north,lat_south,land_km2,est_rows,est_mb
0,90,65,10039480.8,13566866,407.0
1,65,55,13714837.7,18533564,556.0
2,55,45,16483502.8,22275004,668.3
3,45,35,15665085.3,21169034,635.1
4,35,25,15936687.1,21536064,646.1
5,25,15,13397479.9,18104703,543.1
6,15,5,10487621.3,14172461,425.2
7,5,-5,10140565.5,13703467,411.1
8,-5,-20,14593243.8,19720600,591.6
9,-20,-35,12328527.4,16660172,499.8
10,-35,-80,11229327.6,15174767,455.2
11,-80,-90,3421003.6,4622978,138.7
